UID,Name,Position,Age,Club,Wage,Division,Minutes Played,Season,Total Number Of Seasons Stored,Average Rating,SABR Rating,Adjusted Rating,Adjusted SABR Rating,Rating Difference,Aerial Challenges Attempted per 90,Assists per 90,Blocks per 90,Chances Created per 90,Clearances per 90,Cross Completion %,Dribbles per 90,Expected Assists per 90,Expected Goals per 90,Goals per 90,Headers Won %,Interceptions per 90,Key Headers per 90,Key Passes per 90,Key Tackles per 90,Non-Penalty xG per 90,Open-Play Cross Completion %,Open-Play Key Passes per 90,Possession Lost per 90,Possession Won per 90,Pressures Attempted per 90,Pressures Completed per 90,Progressive Passes per 90,Shots Blocked per 90,Shots Outside Box per 90,Shots on Target per 90,Shots per 90,Tackles Won per 90
r-2002213320,Alessandro Cabrera,Striker,29,Real Salt Lake,"£729,000 p/a",Major League Soccer,2720,2045,1,6.96,8.21,6.96,8.21,1.25,8.04,0.23,0.17,1.19,0.63,25.0,1.29,0.17,0.3,0.36,40.0,1.12,0.17,2.28,0.0,0.3,98.0,0.63,12.01,4.83,8.5,1.62,1.29,0.0,0.63,0.86,1.79,1.19
r-2002258257,Henrik Andersén,Striker,27,St. Louis CITY,"£1,076,000 p/a",Major League Soccer,2623,2045,2,7.12,8.09,7.1,7.56,0.46,14.0,0.14,0.17,0.25,0.27,13.0,1.78,0.11,0.63,0.58,51.0,1.0,0.03,0.82,0.07,0.63,14.0,0.75,8.99,3.6,5.97,1.37,0.45,0.03,1.06,1.75,3.91,0.69
r-2002258257,Henrik Andersén,Striker,28,St. Louis CITY,"£2,421,000 p/a",Major League Soccer,2489,2046,2,7.09,7.04,7.1,7.56,0.46,7.27,0.11,0.04,1.34,0.29,35.0,1.74,0.17,0.42,0.54,41.0,1.19,0.0,2.13,0.0,0.42,140.0,0.69,11.53,3.83,6.18,1.74,1.19,0.0,1.41,1.74,3.51,0.61
r-2002340186,Nick Zamora,Striker,30,LA Galaxy,"£252,000 p/a",Major League Soccer,3194,2045,2,6.95,7.98,6.96,5.28,-1.68,10.82,0.23,0.25,0.95,0.42,12.0,1.27,0.12,0.37,0.34,32.0,1.61,0.11,1.04,0.03,0.37,46.0,0.96,9.66,5.18,9.02,2.0,1.38,0.14,0.59,0.99,1.92,1.58
r-2002340186,Nick Zamora,Striker,31,LA Galaxy,"£252,000 p/a",Major League Soccer,1124,2046,2,6.96,2.58,6.96,5.28,-1.68,9.93,0.16,0.08,1.06,0.48,33.0,2.08,0.24,0.42,0.48,27.0,1.04,0.08,1.12,0.0,0.42,115.0,1.12,8.33,4.16,9.13,2.4,1.84,0.0,0.88,1.12,2.08,1.2
r-2002339930,Liam Sutton,Striker,28,Colorado,"£704,000 p/a",Major League Soccer,2654,2045,2,6.75,7.76,6.88,8.88,2.0,5.83,0.07,0.41,1.53,0.85,0.0,0.03,0.02,0.06,0.0,58.0,1.9,0.37,0.2,0.24,0.06,33.0,0.17,4.44,10.92,3.02,1.29,3.59,0.34,0.1,0.1,0.71,1.25
r-2002339930,Liam Sutton,Striker,29,Austin FC,"£509,000 p/a",Major League Soccer,3645,2046,2,7.01,10.0,6.88,8.88,2.0,5.88,0.02,0.49,0.74,0.96,25.0,0.22,0.05,0.14,0.27,53.0,2.0,0.42,0.4,0.27,0.12,63.0,0.37,6.42,10.2,4.54,1.6,5.8,0.42,0.25,0.52,0.96,1.38
r-2002111944,Cristian Alvarado,Striker,34,Atlanta United,"£2,560,000 p/a",Major League Soccer,2469,2045,2,7.15,7.39,7.02,5.44,-1.58,8.57,0.22,0.15,1.21,0.55,17.0,0.91,0.21,0.3,0.51,46.0,1.17,0.22,1.46,0.04,0.27,17.0,1.02,11.56,6.2,10.83,2.77,2.7,0.04,0.4,1.39,2.15,2.11
r-2002111944,Cristian Alvarado,Striker,35,Atlanta United,"£2,560,000 p/a",Major League Soccer,1283,2046,2,6.9,3.48,7.02,5.44,-1.58,9.47,0.21,0.42,0.58,0.7,31.0,1.54,0.3,0.21,0.21,41.0,1.68,0.14,1.68,0.0,0.21,41.0,1.05,13.05,6.73,13.54,2.74,2.81,0.07,0.21,0.7,1.54,3.37
r-2002180688,Nic Hollingshead,Striker,31,LA Galaxy,"£4,457,000 p/a",Major League Soccer,2935,2045,2,7.01,7.16,6.94,6.94,0.0,11.25,0.21,0.12,2.85,0.37,6.0,1.84,0.14,0.4,0.31,35.0,1.32,0.12,1.01,0.0,0.4,9.0,1.01,9.08,4.94,8.06,2.15,1.32,0.03,0.67,0.98,2.61,1.84
r-2002180688,Nic Hollingshead,Striker,32,LA Galaxy,"£4,457,000 p/a",Major League Soccer,3209,2046,2,6.88,6.73,6.94,6.94,0.0,10.88,0.08,0.28,0.92,0.34,13.0,1.04,0.1,0.41,0.45,34.0,0.98,0.06,0.73,0.0,0.41,28.0,0.67,8.19,4.12,7.8,1.63,0.84,0.03,0.53,1.12,2.16,1.23
r-2002183577,Gabriel Voicu,Striker,31,Cincinnati,"£3,450,000 p/a",Major League Soccer,3100,2045,2,6.68,6.89,6.84,5.4,-1.44,6.68,0.09,0.09,0.62,0.38,20.0,1.19,0.09,0.21,0.26,32.0,1.13,0.03,0.73,0.0,0.21,44.0,0.73,7.72,3.86,7.43,1.92,1.22,0.06,0.44,0.67,1.48,1.36
r-2002183577,Gabriel Voicu,Striker,32,Cincinnati,"£2,415,000 p/a",Major League Soccer,2086,2046,2,7.0,3.91,6.84,5.4,-1.44,7.03,0.13,0.09,2.42,0.43,9.0,2.11,0.18,0.41,0.6,29.0,1.29,0.13,1.25,0.04,0.41,12.0,1.25,8.59,4.31,8.41,1.86,1.47,0.04,0.6,1.08,1.86,1.21
r-2002137706,Luís Carneiro,Striker,32,FC Dallas,"£3,028,000 p/a",Major League Soccer,3435,2045,2,6.92,6.8,6.88,6.14,-0.74,7.31,0.1,0.1,1.68,0.24,30.0,1.21,0.1,0.42,0.5,20.0,0.73,0.0,1.31,0.05,0.32,56.0,0.6,9.41,3.56,7.83,1.7,1.02,0.05,0.97,0.97,2.1,1.31
r-2002137706,Luís Carneiro,Striker,33,FC Dallas,"£3,028,000 p/a",Major League Soccer,3392,2046,2,6.83,5.49,6.88,6.14,-0.74,9.07,0.03,0.11,0.21,0.29,13.0,1.33,0.1,0.37,0.37,17.0,1.06,0.05,1.11,0.0,0.28,49.0,0.64,9.02,3.87,8.78,1.88,0.85,0.0,0.93,1.09,2.04,1.01
r-2002136900,Taisuke Hoshide,Striker,30,Portland,"£2,267,000 p/a",Major League Soccer,2831,2045,2,7.03,6.61,7.18,5.53,-1.65,6.8,0.13,0.16,2.69,0.41,23.0,2.13,0.13,0.42,0.45,11.0,1.21,0.03,1.27,0.0,0.42,201.0,0.99,11.13,3.88,7.15,1.65,2.1,0.06,1.3,1.21,2.7,1.37
r-2002136900,Taisuke Hoshide,Striker,31,Portland,"£2,450,000 p/a",Major League Soccer,2675,2046,2,7.33,4.45,7.18,5.53,-1.65,8.24,0.13,0.1,0.36,0.44,13.0,2.49,0.13,0.51,0.77,12.0,0.94,0.0,1.11,0.07,0.51,67.0,0.81,11.07,3.57,7.94,2.46,1.14,0.03,1.48,1.55,2.93,1.21
r-2002167282,Gonzalo Reyes,Striker,32,Chicago,"£2,574,000 p/a",Major League Soccer,2907,2045,2,6.7,6.58,6.86,5.36,-1.5,5.57,0.03,0.12,0.04,0.31,50.0,0.77,0.01,0.28,0.4,28.0,0.71,0.19,0.22,0.0,0.28,100.0,0.22,8.14,2.07,3.84,0.8,0.74,0.06,0.28,0.65,1.02,0.4
r-2002167282,Gonzalo Reyes,Striker,33,Chicago,"£2,574,000 p/a",Major League Soccer,2291,2046,2,7.01,4.13,6.86,5.36,-1.5,4.36,0.24,0.2,1.36,0.27,23.0,1.34,0.11,0.25,0.27,25.0,1.14,0.0,0.98,0.0,0.25,48.0,0.82,9.27,3.69,8.64,2.0,2.87,0.16,0.79,0.71,1.65,0.98
r-2002136593,Víctor García,Striker,27,Columbus,"£735,000 p/a",Major League Soccer,3068,2045,2,7.0,6.51,7.07,5.81,-1.26,7.83,0.12,0.12,1.59,0.35,17.0,1.61,0.21,0.61,0.65,22.0,1.2,0.0,2.02,0.03,0.44,44.0,1.0,10.8,4.63,7.33,2.05,1.14,0.06,1.09,1.26,2.52,1.09
r-2002136593,Víctor García,Striker,28,Columbus,"£735,000 p/a",Major League Soccer,3199,2046,2,7.14,5.11,7.07,5.81,-1.26,7.79,0.08,0.06,1.36,0.2,20.0,1.35,0.12,0.76,0.84,18.0,1.1,0.03,1.04,0.03,0.49,47.0,0.53,7.6,3.52,7.68,2.17,0.42,0.03,1.27,1.66,2.98,0.93
r-2002340183,Sergio Avallone,Striker,31,Atlanta United,"£704,000 p/a",Major League Soccer,3424,2045,2,7.03,6.36,7.04,5.98,-1.06,5.02,0.21,0.29,0.79,0.76,16.0,2.92,0.21,0.28,0.16,12.0,1.79,0.0,1.58,0.0,0.28,37.0,1.24,13.2,5.76,12.98,3.1,2.05,0.18,1.24,0.97,2.26,2.02
r-2002340183,Sergio Avallone,Striker,32,Atlanta United,"£704,000 p/a",Major League Soccer,2930,2046,2,7.06,5.6,7.04,5.98,-1.06,6.42,0.12,0.18,0.59,0.83,8.0,3.16,0.15,0.32,0.4,21.0,2.09,0.0,1.29,0.03,0.32,39.0,1.01,11.58,6.6,13.21,3.1,2.0,0.03,0.92,1.08,2.03,1.84
r-2002339991,Sammy Chambers-Shaw,Striker,33,CF Montréal,"£220,000 p/a",Major League Soccer,2714,2045,2,6.97,6.3,6.84,4.9,-1.94,9.29,0.13,0.07,1.38,0.27,11.0,0.93,0.09,0.42,0.56,29.0,1.19,0.07,0.8,0.0,0.42,77.0,0.7,7.56,4.21,7.06,1.76,1.56,0.03,0.9,1.19,2.22,1.19
r-2002339991,Sammy Chambers-Shaw,Striker,34,CF Montréal,"£220,000 p/a",Major League Soccer,2203,2046,2,6.72,3.51,6.84,4.9,-1.94,10.13,0.04,0.04,0.74,0.29,0.0,0.98,0.06,0.41,0.45,22.0,1.18,0.04,0.65,0.0,0.38,42.0,0.45,6.21,3.35,6.33,1.8,1.06,0.0,0.69,0.78,2.12,1.39
r-2002338327,Blake Ramos,Striker,28,Seattle,"£308,000 p/a",Major League Soccer,2732,2045,1,7.38,6.22,7.38,6.22,-1.16,5.57,0.23,0.1,0.92,0.2,9.0,2.54,0.15,0.57,0.72,29.0,0.99,0.0,1.22,0.0,0.44,46.0,1.05,9.62,4.15,8.01,2.08,1.78,0.03,0.46,1.02,1.98,1.12
r-2002339974,Connor Sánchez,Striker,31,Portland,"£704,000 p/a",Major League Soccer,2633,2045,2,6.8,5.87,6.8,2.94,-3.86,8.44,0.1,0.17,0.33,0.34,19.0,0.85,0.11,0.27,0.31,21.0,0.72,0.0,0.92,0.0,0.14,113.0,0.92,9.64,3.25,8.27,2.5,1.33,0.03,0.41,0.58,1.16,1.37
r-2002339974,Connor Sánchez,Striker,32,Seattle,"£438,000 p/a",Major League Soccer,22,2046,2,6.8,0.0,6.8,2.94,-3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r-2002361429,Halil Çela,Striker,19,Real Salt Lake,"£101,000 p/a",Major League Soccer,3083,2045,2,6.86,5.86,6.96,5.87,-1.09,6.63,0.15,0.09,0.96,0.58,11.0,1.58,0.17,0.3,0.23,22.0,1.37,0.15,1.02,0.0,0.3,23.0,0.82,9.17,5.69,7.79,1.9,2.69,0.06,0.61,0.61,1.75,1.34
r-2002361429,Halil Çela,Striker,20,Real Salt Lake,"£182,000 p/a",Major League Soccer,3012,2046,2,7.07,5.88,6.96,5.87,-1.09,6.72,0.12,0.27,1.44,0.21,26.0,1.4,0.14,0.28,0.39,27.0,1.17,0.12,1.05,0.12,0.28,63.0,1.02,7.71,4.54,7.35,1.73,2.48,0.18,0.57,1.17,1.85,1.34
r-2002227338,Atli Már Jósefsson,Striker,27,Vancouver,"£2,744,000 p/a",Major League Soccer,2570,2045,2,6.84,5.83,6.81,4.69,-2.12,7.21,0.07,0.25,1.2,0.21,7.0,1.47,0.09,0.4,0.21,35.0,0.88,0.07,1.05,0.0,0.4,8.0,1.05,9.81,3.75,5.78,1.4,1.65,0.04,0.67,0.84,2.07,0.56
r-2002227338,Atli Már Jósefsson,Striker,28,Vancouver,"£2,744,000 p/a",Major League Soccer,1756,2046,2,6.78,3.54,6.81,4.69,-2.12,11.53,0.0,0.0,0.13,0.26,22.0,1.18,0.06,0.37,0.41,33.0,1.08,0.1,0.41,0.0,0.37,22.0,0.41,7.48,3.84,4.15,1.33,1.23,0.0,0.41,0.97,1.95,0.67
r-2002339716,Andrea Buonaiuto,Striker,29,Sporting KC,"£227,000 p/a",Major League Soccer,2218,2045,2,7.29,5.66,7.12,5.22,-1.9,5.23,0.24,0.16,1.87,0.53,23.0,2.27,0.28,0.42,0.49,33.0,1.1,0.04,1.95,0.08,0.42,42.0,1.66,11.61,4.38,8.44,1.99,2.39,0.08,1.22,1.26,2.76,1.38
r-2002339716,Andrea Buonaiuto,Striker,30,Sporting KC,"£676,000 p/a",Major League Soccer,2646,2046,2,6.94,4.77,7.12,5.22,-1.9,4.32,0.07,0.14,0.3,0.37,35.0,2.01,0.11,0.19,0.24,28.0,1.26,0.03,0.88,0.03,0.19,24.0,0.54,8.61,4.9,6.53,1.73,0.88,0.03,0.65,0.58,1.22,1.56
r-2002218674,Juan Camilo Ríos,Striker,27,Vancouver,"£756,000 p/a",Major League Soccer,3208,2045,2,7.05,5.61,6.92,5.14,-1.78,6.23,0.17,0.08,2.14,0.34,22.0,1.82,0.21,0.35,0.45,10.0,1.12,0.06,1.96,0.03,0.35,65.0,1.4,10.02,5.22,8.53,1.94,2.3,0.0,1.07,1.15,2.16,1.32
r-2002218674,Juan Camilo Ríos,Striker,28,Vancouver,"£756,000 p/a",Major League Soccer,2783,2046,2,6.78,4.67,6.92,5.14,-1.78,7.73,0.26,0.13,2.32,0.19,23.0,2.1,0.22,0.16,0.19,12.0,1.68,0.03,1.94,0.06,0.16,78.0,1.23,10.06,5.69,8.28,2.17,2.01,0.03,0.49,0.49,1.1,1.94
r-2002180691,Calvin Koniver,Striker,31,Houston,"£288,000 p/a",Major League Soccer,2320,2045,2,6.93,5.58,6.9,4.27,-2.63,12.49,0.04,0.16,0.31,0.27,28.0,0.85,0.07,0.37,0.5,37.0,0.74,0.08,0.78,0.0,0.37,18.0,0.78,6.44,3.06,4.58,1.01,0.78,0.12,0.39,0.81,1.86,0.97
r-2002180691,Calvin Koniver,Striker,32,Houston,"£288,000 p/a",Major League Soccer,1069,2046,2,6.86,2.96,6.9,4.27,-2.63,9.43,0.08,0.25,0.27,0.17,100.0,0.67,0.14,0.21,0.34,30.0,1.01,0.0,0.76,0.0,0.21,160.0,0.67,12.21,4.21,9.6,2.19,1.01,0.08,0.34,0.34,1.18,2.1
r-2002339944,César Jélvez,Striker,25,New York,"£225,000 p/a",Major League Soccer,3192,2045,2,6.87,5.5,6.88,4.8,-2.08,8.8,0.14,0.08,1.05,0.31,15.0,1.04,0.12,0.28,0.28,16.0,1.1,0.0,0.9,0.03,0.28,43.0,0.9,8.43,3.92,6.2,1.47,1.44,0.03,0.68,0.56,1.41,1.1
r-2002339944,César Jélvez,Striker,26,New York,"£225,000 p/a",Major League Soccer,2253,2046,2,6.88,4.1,6.88,4.8,-2.08,9.39,0.08,0.12,1.08,0.36,22.0,1.36,0.09,0.25,0.4,25.0,1.36,0.0,0.88,0.0,0.22,29.0,0.88,8.27,4.79,6.79,1.84,1.04,0.08,0.72,0.64,1.48,1.04
r-2002271074,George Jennings,Striker,25,D.C. United,"£2,105,000 p/a",Major League Soccer,2739,2045,2,7.07,5.4,7.06,5.85,-1.21,4.3,0.16,0.07,2.01,0.3,15.0,2.07,0.15,0.26,0.33,21.0,0.76,0.07,1.15,0.0,0.26,35.0,1.15,11.73,3.68,9.27,2.4,1.84,0.03,0.49,0.92,1.61,1.05
r-2002271074,George Jennings,Striker,26,D.C. United,"£2,504,000 p/a",Major League Soccer,2816,2046,2,7.04,6.3,7.06,5.85,-1.21,6.42,0.13,0.06,2.18,0.29,15.0,2.24,0.24,0.32,0.26,30.0,1.15,0.03,1.02,0.0,0.32,66.0,0.99,12.69,4.67,8.21,2.75,2.4,0.03,0.35,0.8,1.53,1.05
r-2002109976,Igor Díez,Striker,35,Nashville,"£1,578,000 p/a",Major League Soccer,1496,2045,2,6.99,5.35,6.85,2.78,-4.07,6.92,0.24,0.0,1.66,0.18,28.0,1.02,0.16,0.43,0.48,51.0,0.78,0.0,1.32,0.0,0.43,173.0,0.78,10.23,3.85,6.86,1.8,1.08,0.0,1.14,1.68,2.83,0.72
r-2002109976,Igor Díez,Striker,36,Nashville,"£1,105,000 p/a",Major League Soccer,83,2046,2,6.7,0.21,6.85,2.78,-4.07,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.5,0.0,40.0,1.08,0.0,3.25,0.0,0.5,50.0,1.08,10.84,9.76,7.59,2.17,4.34,0.0,0.0,1.08,2.17,2.17
r-2002213321,Álvaro Lavalle,Striker,28,Minnesota,"£931,000 p/a",Major League Soccer,2237,2045,2,7.0,5.34,6.9,4.21,-2.69,12.07,0.04,0.2,0.97,0.36,19.0,1.13,0.08,0.41,0.64,29.0,1.05,0.08,1.09,0.0,0.34,56.0,0.84,8.37,4.06,6.28,1.29,1.13,0.08,1.17,1.21,2.74,0.97
r-2002213321,Álvaro Lavalle,Striker,29,Minnesota,"£2,530,000 p/a",Major League Soccer,1456,2046,2,6.79,3.08,6.9,4.21,-2.69,13.48,0.12,0.31,0.21,0.25,17.0,0.99,0.12,0.23,0.25,28.0,1.05,0.19,1.92,0.0,0.23,39.0,1.11,10.38,4.45,6.98,1.67,0.99,0.0,1.3,0.8,2.47,1.05
r-2002338085,Oldemar,Striker,32,Atlanta United,"£704,000 p/a",Major League Soccer,3011,2045,2,6.96,5.26,6.92,4.91,-2.01,7.62,0.03,0.03,0.48,0.45,0.0,1.29,0.08,0.43,0.6,18.0,1.35,0.0,0.9,0.0,0.43,33.0,0.57,10.04,3.44,5.2,1.32,0.93,0.0,1.08,1.17,2.39,0.75
r-2002338085,Oldemar,Striker,33,Atlanta United,"£704,000 p/a",Major League Soccer,3198,2046,2,6.88,4.56,6.92,4.91,-2.01,7.85,0.14,0.2,0.28,0.25,28.0,0.98,0.1,0.4,0.34,19.0,0.79,0.06,0.84,0.03,0.4,22.0,0.76,6.14,2.79,5.04,1.29,0.56,0.08,1.15,1.13,2.45,0.82
r-2002180682,João Faria,Striker,31,LAFC,"£3,269,000 p/a",Major League Soccer,2984,2045,2,6.83,5.19,6.91,4.78,-2.13,5.67,0.15,0.12,0.61,0.39,13.0,1.06,0.1,0.24,0.21,16.0,1.15,0.0,1.57,0.0,0.24,32.0,0.93,11.22,4.22,8.48,2.05,1.99,0.06,0.84,0.69,1.57,1.45
r-2002180682,João Faria,Striker,32,LAFC,"£2,289,000 p/a",Major League Soccer,2889,2046,2,6.99,4.37,6.91,4.78,-2.13,3.36,0.25,0.09,1.04,0.37,23.0,1.18,0.19,0.32,0.22,19.0,0.93,0.0,1.68,0.0,0.32,38.0,0.9,9.75,3.02,6.17,1.4,1.4,0.06,0.84,0.59,1.65,1.0
r-2002242681,Matt Razov,Striker,28,Seattle,"£671,000 p/a",Major League Soccer,2863,2045,2,7.09,4.81,6.98,3.41,-3.57,5.78,0.13,0.06,1.15,0.47,28.0,2.42,0.17,0.39,0.53,14.0,0.94,0.0,1.07,0.03,0.39,44.0,0.91,8.83,3.4,5.44,1.48,1.04,0.0,0.5,1.04,1.85,0.97
r-2002242681,Matt Razov,Striker,29,Seattle,"£671,000 p/a",Major League Soccer,1036,2046,2,6.87,2.01,6.98,3.41,-3.57,7.38,0.26,0.09,0.93,0.26,12.0,4.17,0.26,0.22,0.35,20.0,2.17,0.09,1.39,0.0,0.22,16.0,1.3,12.25,8.34,10.86,3.13,2.52,0.0,0.69,1.13,1.65,3.21
r-2002185903,Bennard Ackun,Striker,30,Nashville,"£1,483,000 p/a",Major League Soccer,2415,2045,2,7.2,4.75,7.12,4.91,-2.21,4.84,0.22,0.26,1.52,0.45,26.0,1.49,0.24,0.4,0.63,16.0,0.82,0.0,2.5,0.07,0.4,104.0,0.93,9.47,3.2,5.81,1.68,1.19,0.07,0.41,1.01,1.86,1.16
r-2002185903,Bennard Ackun,Striker,31,Nashville,"£3,410,000 p/a",Major League Soccer,3060,2046,2,7.05,5.07,7.12,4.91,-2.21,5.62,0.24,0.03,0.63,0.12,16.0,1.65,0.16,0.29,0.41,20.0,1.18,0.0,1.53,0.03,0.29,38.0,0.82,10.56,3.15,6.44,1.65,1.53,0.03,0.44,0.74,1.35,1.18
r-2002225685,Martin Espinosa,Striker,27,Inter Miami,"£273,000 p/a",Major League Soccer,2389,2045,2,6.68,4.52,6.85,4.56,-2.29,7.01,0.04,0.04,0.45,0.72,9.0,1.85,0.09,0.3,0.3,22.0,0.87,0.0,0.87,0.0,0.18,28.0,0.87,9.87,3.62,5.84,1.51,1.62,0.04,0.38,0.72,1.39,1.02
r-2002225685,Martin Espinosa,Striker,28,San Jose,"£273,000 p/a",Major League Soccer,2385,2046,2,7.02,4.61,6.85,4.56,-2.29,7.47,0.19,0.26,1.65,0.3,29.0,2.04,0.21,0.51,0.53,21.0,1.85,0.0,1.55,0.04,0.33,83.0,1.51,7.62,5.17,9.25,2.64,1.96,0.11,0.64,1.02,2.23,1.85
r-2002140313,Mauro Gallinetta,Striker,31,New England,"£775,000 p/a",Major League Soccer,3300,2045,1,6.62,4.39,6.62,4.39,-2.23,3.41,0.05,0.08,0.67,0.38,11.0,1.36,0.06,0.19,0.14,14.0,0.82,0.03,0.6,0.0,0.19,14.0,0.52,8.32,3.46,7.23,2.13,1.34,0.03,0.35,0.49,0.82,1.04
r-2002339083,Ciro Galasso,Striker,22,Philadelphia,"£148,000 p/a",Major League Soccer,1638,2045,2,6.66,4.32,6.86,3.08,-3.78,10.49,0.05,0.05,0.8,0.66,27.0,0.88,0.11,0.21,0.16,33.0,1.1,0.05,0.77,0.0,0.21,133.0,0.77,6.65,3.52,4.78,0.82,1.04,0.0,0.55,0.6,1.43,0.88
r-2002339083,Ciro Galasso,Striker,23,Philadelphia,"£148,000 p/a",Major League Soccer,900,2046,2,7.06,1.85,6.86,3.08,-3.78,9.1,0.4,0.0,2.36,0.4,15.0,1.4,0.23,0.31,0.4,33.0,1.5,0.1,1.4,0.0,0.31,22.0,1.3,8.2,4.3,7.4,1.3,1.4,0.0,1.6,0.9,2.4,1.3
r-2002338136,Saidu Kamara,Striker,31,Colorado,"£704,000 p/a",Major League Soccer,2345,2045,2,6.94,4.24,6.8,4.03,-2.77,8.83,0.08,0.08,0.6,0.38,10.0,0.77,0.1,0.61,0.73,20.0,0.81,0.08,0.96,0.08,0.58,74.0,0.35,5.6,2.69,4.87,1.11,0.61,0.0,1.23,1.27,3.03,0.73
r-2002338136,Saidu Kamara,Striker,32,Inter Miami,"£101,000 p/a",Major League Soccer,2025,2046,2,6.67,3.81,6.8,4.03,-2.77,10.44,0.18,0.36,2.47,0.71,10.0,1.24,0.14,0.37,0.22,23.0,1.11,0.04,0.98,0.0,0.26,61.0,0.8,9.38,3.56,7.91,2.04,1.2,0.09,0.76,0.8,1.78,1.29
r-2002125248,Nawfal Badaoui,Striker,34,Real Salt Lake,"£237,000 p/a",Major League Soccer,1278,2045,2,6.8,3.8,6.88,3.01,-3.87,10.07,0.0,0.14,0.25,0.85,22.0,0.85,0.1,0.34,0.42,43.0,0.7,0.14,0.99,0.0,0.34,106.0,0.49,8.31,3.87,5.77,1.27,0.99,0.0,0.49,1.34,2.46,0.92
r-2002125248,Nawfal Badaoui,Striker,35,New York,"£237,000 p/a",Major League Soccer,856,2046,2,6.95,2.23,6.88,3.01,-3.87,8.52,0.21,0.21,0.44,0.21,4.0,1.89,0.12,0.21,0.42,43.0,1.79,0.0,0.84,0.0,0.21,48.0,0.53,11.46,6.73,8.62,2.1,2.31,0.0,0.84,1.47,2.21,2.31
r-2002339913,Ezequiel Gallo,Striker,33,Houston,"£279,000 p/a",Major League Soccer,1453,2045,1,6.75,3.62,6.75,3.62,-3.13,5.57,0.12,0.43,1.03,0.87,12.0,3.22,0.14,0.26,0.25,30.0,1.67,0.0,1.3,0.0,0.16,29.0,1.11,13.07,5.82,12.76,3.65,2.66,0.12,0.62,1.18,1.61,1.49
r-2002338195,Andrea Pischedda,Striker,29,D.C. United,"£268,000 p/a",Major League Soccer,2150,2045,2,6.94,3.61,6.88,3.12,-3.76,4.52,0.08,0.08,0.45,0.13,11.0,1.09,0.12,0.62,0.46,20.0,0.67,0.0,1.09,0.0,0.52,13.0,1.09,9.33,3.22,7.41,1.67,1.3,0.04,0.46,1.3,2.26,1.05
r-2002338195,Andrea Pischedda,Striker,30,D.C. United,"£268,000 p/a",Major League Soccer,1729,2046,2,6.82,2.62,6.88,3.12,-3.76,5.62,0.1,0.1,2.82,0.21,25.0,1.77,0.15,0.27,0.36,11.0,1.04,0.0,1.2,0.0,0.23,60.0,1.04,10.57,4.37,9.06,2.55,1.67,0.0,0.36,0.73,1.35,1.25
r-2002152745,Christian Mora,Striker,33,Austin FC,"£1,001,000 p/a",Major League Soccer,2387,2045,1,7.06,3.53,7.06,3.53,-3.53,3.43,0.3,0.11,1.86,0.15,24.0,0.9,0.2,0.27,0.3,8.0,0.38,0.0,1.4,0.0,0.15,53.0,1.17,11.01,2.6,9.46,2.71,1.89,0.04,0.19,0.53,0.94,1.21
r-2002338235,Tim Berry,Striker,25,New England,"£101,000 p/a",Major League Soccer,820,2045,2,6.97,3.08,6.9,4.98,-1.92,5.93,0.22,0.11,7.48,0.44,57.0,1.43,0.23,0.41,0.55,61.0,0.66,0.11,1.21,0.11,0.41,143.0,1.21,7.02,4.72,5.49,1.1,0.66,0.0,0.66,0.77,2.41,1.1
r-2002338235,Tim Berry,Striker,26,New England,"£175,000 p/a",Major League Soccer,2604,2046,2,6.84,6.89,6.9,4.98,-1.92,8.43,0.0,0.03,1.5,0.55,0.0,0.86,0.07,0.34,0.35,58.0,0.83,0.1,0.55,0.03,0.34,0.0,0.55,8.19,4.77,7.26,1.66,1.14,0.0,0.52,1.0,2.25,1.14
r-2002355756,Lorenzo Quaini,Striker,20,LA Galaxy,"£101,000 p/a",Major League Soccer,1156,2045,2,6.78,3.01,6.82,4.48,-2.34,10.98,0.08,0.16,1.38,0.54,0.0,0.7,0.04,0.3,0.31,43.0,1.09,0.23,0.31,0.0,0.3,0.0,0.31,9.5,4.59,8.49,1.95,1.25,0.08,0.47,1.56,2.8,1.56
r-2002355756,Lorenzo Quaini,Striker,21,Austin FC,"£101,000 p/a",Major League Soccer,2529,2046,2,6.85,5.95,6.82,4.48,-2.34,7.22,0.0,0.11,0.77,0.32,13.0,0.93,0.06,0.35,0.36,46.0,0.82,0.21,0.68,0.04,0.35,21.0,0.68,8.97,3.56,6.76,1.78,0.64,0.07,0.57,1.0,2.03,1.1
r-2002338119,Jochen Freeman,Striker,31,LAFC,"£196,000 p/a",Major League Soccer,1094,2045,2,6.92,2.95,6.92,4.16,-2.76,9.95,0.49,0.16,1.59,0.33,6.0,1.23,0.18,0.47,0.41,25.0,1.32,0.0,2.55,0.0,0.47,119.0,1.15,13.66,4.69,10.12,3.04,1.65,0.08,1.23,0.9,2.55,1.81
